id,context_precision_score,context_precision_justificativa,contextual_relevancy_score,contextual_relevancy_justificativa,contextual_recall_score,contextual_recall_justificativa,faithfulness_score,faithfulness_justificativa,answer_relevance_score,answer_relevance_justificativa
104,1.0,"Informação chave está explícita no trecho.",1.0,"Citações diretas sobre métodos e geofísica offshore.",1.0,"O dado de que a sísmica descobre armadilhas sustenta a métrica de recall.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
105,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Evidencia o lado metodológico da ciência (geofísica sedimentar).",1.0,"O conjunto das avaliações permite estimar os limites da área porosa.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
106,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Traz a taxonomia clássica clástica em sedimentologia exata.",1.0,"Argila, areia e cascalho fornecem os termos detríticos em perfeição.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
107,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Conecta tamanho do grão às rochas que compõem o turbidito.",1.0,"Citação exata atesta que a areia é a litologia originária do arenito.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
108,1.0,"Informação chave está explícita no trecho.",1.0,"Relevância ligada à tabela granulométrica do sistema produtivo.",1.0,"Conglomerado e arenito explicam a variação granulométrica pedida.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
109,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Sem textos supérfluos, concentra no capeamento.",1.0,"O papel da rocha selante com baixa permeabilidade é garantido na fonte.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
110,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Citação do volume de retenção em litologia permeável.",1.0,"Permite justificar as características de um bom reservatório produtor.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
111,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Evidências conceituais das partes de bacias petrolíferas citadas.",1.0,"Recall permite consolidar a definição da palavra Sistema Petrolífero.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
112,1.0,"Informação chave está explícita no trecho.",1.0,"Foco temporal fundamental da formação do óleo para trapa.",1.0,"Justifica as falhas exploratórias por desencontro do timing estrutural.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
113,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Apenas descreve calha e fragmentos (cuttings) em perfuração.",1.0,"Resgata a profundidade e litologia pelo estudo da amostra na sonda.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
114,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Relevância garantida pela descrição da taxa de fluxo do reservatório.",1.0,"O termo permeabilidade amarra 100% da resposta com a fonte.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
115,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Evidência apenas da avaliação petrofísica do volume 'in situ'.",1.0,"Porosidade é deduzida com alta integridade devido ao fragmento recuperado.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
116,1.0,"Informação chave está explícita no trecho.",1.0,"Aborda locais com potencial acúmulo e soterramento de matéria morta.",1.0,"Onde a geração ocorre em deltas/oceanos/lagos consta explícito.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
117,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Traz as definições teóricas macro de exploração contidas em wiki.",1.0,"A resposta que conceitualiza o modelo está no material oferecido.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
118,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Focado nos dutos naturais no subsolo (rochas carreadoras).",1.0,"A migração do sistema gerador sustenta a explicação sem perda.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
119,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Relevância da pesquisa exploratória pródiga a poços secos.",1.0,"Determinação de áreas favoráveis antecede furos, segundo a fonte.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
120,1.0,"Informação chave está explícita no trecho.",1.0,"Combina extensão do depósito e fácies na visão da estratigrafia.",1.0,"A evolução e limite geográfico são retirados do suporte com precisão.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
121,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"A relevância do princípio da superposição litológica é clara e exata.",1.0,"A dedução baseada na profundidade da pilha funciona com 100% de recall.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
122,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Contexto sobre processos sedimentares mecânicos (vento e água).",1.0,"O agente transportador que gera depósitos detríticos é compreendido bem.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
123,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Focado na duração estendida da deposição no litoral/mar.",1.0,"Garante ambiente marinho turbidítico como base e destino da erosão.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
124,1.0,"Informação chave está explícita no trecho.",1.0,"As correlações entre geologia, superposição e o significado fóssil estão sem ruído.",1.0,"Permite sintetizar os três pedaços sem lacunas lógicas na resposta.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
125,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Relevância no processo geoquímico e produtos do mar raso.",1.0,"Ligação com rochas evaporíticas garante recall da composição citada.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
126,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"A citação explícita aos estados e nomes da extensão da jazida é única.",1.0,"Recall permite elencar Campos, Santos e ES geograficamente corretas.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
127,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Platô de São Paulo e bacias gigantes focados sem desvio marginal.",1.0,"A correlação das bacias associadas ao grande alto estrutural é certa.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
128,1.0,"Informação chave está explícita no trecho.",1.0,"Contexto de tectônica de placas (Gondwana) abordado restritamente.",1.0,"Garante a explicação continental passiva para a província inteira.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
129,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Dimensões da bacia sedimentar sul sudeste expostas de forma exata.",1.0,"Recuperação do trecho 'Cabo Frio a Florianópolis' em completude.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
130,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Delineação geográfica perfeitamente referenciada nos limites dos estados.",1.0,"Traz a resposta de que Campos é o bloco geográfico solicitado.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
131,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Textos destacam as áreas (800x200 km) demonstrando grandeza sem ruído.",1.0,"Todas as regiões interligadas são cobertas pelas menções explícitas.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
132,1.0,"Informação chave está explícita no trecho.",1.0,"Contexto apresenta limites e compartimentação de margens brasileiras.",1.0,"Recall total: a fonte comprova o contorno contendo as duas bacias.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
133,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Relevância da macroeconomia do combustível fóssil atestada claramente.",1.0,"Recupera o fator produtor do pré-sal como propulsor de importância.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
134,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"O momento da divisão África/AL é evidenciado para explicar a gênese.",1.0,"A margem divergente que pariu as sedimentares está inclusa plenamente.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
135,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Conexão do arranjo de margem divergente às falhas continentais é focado.",1.0,"A consequente geração de bacias do tipo oceânico sustenta a resposta final.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
136,1.0,"Informação chave está explícita no trecho.",1.0,"Evidência cartográfica explícita do Alto que divide os blocos exploratórios.",1.0,"Permite resposta sem perda: garante apontar Cabo Frio ao sul.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
137,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Mesmo documento do id anterior: relevância alta no limite contrário (norte).",1.0,"O Alto de Vitória marca exatamente o limite demandado.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
138,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Contexto realça a discrepância litológica contra as bacias vizinhas.",1.0,"Embora compartilhem origem, a evolução distinta do texto valida a premissa.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
139,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Traz valores como '2 mil lâmina d'agua' focados nas batimetrias.",1.0,"O desenvolvimento abaixo do sal ultraprofundo recupera toda a explicação da métrica.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
140,1.0,"Informação chave está explícita no trecho.",1.0,"Apenas descreve sísmica de reflexão no suporte das acumulações prospectáveis.",1.0,"As anomalias geológicas de interesse são derivadas do contexto limpo.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
141,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"O termo chave (espaço nos grãos) preenche o quesito da métrica de forma relevante.",1.0,"Permite construir a dependência rocha-poro da jazida sem informações faltantes.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
142,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Associação do meio poroso na bacia justifica o habitat do óleo marinho e em terra.",1.0,"Recall permite elencar bacias sedimentares aos fluidos que ocorrem nela.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
143,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Relaciona o evento sedimentar da margem de convergência e as correntes profundas.",1.0,"Potiguar como campo de fluxo de detritos comprova inteiramente o ambiente recuperado.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
144,1.0,"Informação chave está explícita no trecho.",1.0,"A ocorrência discreta por fluxo individual em gradação é evidenciada no suporte.",1.0,"O termo estrato/fluxo individual satisfaz completamente a dedução teórica solicitada.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
145,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Mostra o potencial hidrocarbonífero mantido por corpos arenosos em camadas ricas em material fino.",1.0,"A constatação de volumes em fluxos repetidos encerra perfeitamente as causas atrativas desse recurso.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
146,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Composição siliciclástica vs armazenamento em grãos do arenito suportam todo o pilar argumentativo.",1.0,"Recall extrai a porosidade intergranular típica da rocha detritica como reservatório produtivo.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
147,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Mostra que apenas armadilhas/trapas seguram o fluido no reservatório poroso associado.",1.0,"Recall garante deduzir qual termo da engenharia define os bolsões capturados nas concentrações citadas.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
148,1.0,"Informação chave está explícita no trecho.",1.0,"Contexto da barreira anidrítica restringe dados irrelevantes focando nas resistências à migração ascendente do sal.",1.0,"Permite explicar o conceito fundamental que transforma cloretos impenetráveis em capas efetivas nos modelos estratigráficos.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
149,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Relevante à definição do sistema de fraturas vs poros primários em calcários.",1.0,"Os poros são a prova conceitual recuperada demonstrando que cavidades vazias são os alvos das correntes migratórias de óleo cru.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
150,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Integra perfeitamente a tríade migratória formadora das armadilhas: nascer no suporte rico em colágenos biológicos até reter nos selos densos das camadas protetoras.",1.0,"Sem falha no recall. Permite o loop completo no sistema gerador descrito na resposta final.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
